T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
660,Anguilla,2010,Percentage of individuals using the internet,49.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
660,Anguilla,2015,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2000,Percentage of individuals using the internet,7.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2005,Percentage of individuals using the internet,17.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2010,Percentage of individuals using the internet,45.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2015,Percentage of individuals using the internet,68.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2018,Percentage of individuals using the internet,77.7,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2019,Percentage of individuals using the internet,79.9,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
32,Argentina,2020,Percentage of individuals using the internet,85.5,Population aged 4 and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2000,Percentage of individuals using the internet,1.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2005,Percentage of individuals using the internet,5.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2010,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2015,Percentage of individuals using the internet,59.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2018,Percentage of individuals using the internet,68.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2019,Percentage of individuals using the internet,66.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
51,Armenia,2020,Percentage of individuals using the internet,76.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
533,Aruba,2000,Percentage of individuals using the internet,15.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
533,Aruba,2005,Percentage of individuals using the internet,25.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
533,Aruba,2010,Percentage of individuals using the internet,62.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
533,Aruba,2015,Percentage of individuals using the internet,88.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
